onset	duration	trial_type	value	sample
0.005	0	Ojos cerrados	65	1
65	0	discontinuity	2	13000
323.555	0	Ojos abiertos	66	64711
334.835	0	Ojos cerrados	65	66967
347.115	0	Ojos abiertos	66	69423
394.455	0	Ojos cerrados	65	78891
422.25	0	Fotoestimulacion	71	84450
424.755	0	photic stimulation	5	84951
425.755	0	photic stimulation	5	85151
426.755	0	photic stimulation	5	85351
427.755	0	photic stimulation	5	85551
428.755	0	photic stimulation	5	85751
430.835	0	photic stimulation	5	86167
430.92	0	photic stimulation	5	86184
431.005	0	photic stimulation	5	86201
431.085	0	photic stimulation	5	86217
431.17	0	photic stimulation	5	86234
431.255	0	photic stimulation	5	86251
431.335	0	photic stimulation	5	86267
431.42	0	photic stimulation	5	86284
431.505	0	photic stimulation	5	86301
431.585	0	photic stimulation	5	86317
431.67	0	photic stimulation	5	86334
431.755	0	photic stimulation	5	86351
431.835	0	photic stimulation	5	86367
431.92	0	photic stimulation	5	86384
432.005	0	photic stimulation	5	86401
432.085	0	photic stimulation	5	86417
432.17	0	photic stimulation	5	86434
432.255	0	photic stimulation	5	86451
432.335	0	photic stimulation	5	86467
432.42	0	photic stimulation	5	86484
432.505	0	photic stimulation	5	86501
432.585	0	photic stimulation	5	86517
432.67	0	photic stimulation	5	86534
432.755	0	photic stimulation	5	86551
432.835	0	photic stimulation	5	86567
432.92	0	photic stimulation	5	86584
433.005	0	photic stimulation	5	86601
433.085	0	photic stimulation	5	86617
433.17	0	photic stimulation	5	86634
433.255	0	photic stimulation	5	86651
433.335	0	photic stimulation	5	86667
433.42	0	photic stimulation	5	86684
433.505	0	photic stimulation	5	86701
433.585	0	photic stimulation	5	86717
433.67	0	photic stimulation	5	86734
433.755	0	photic stimulation	5	86751
433.835	0	photic stimulation	5	86767
433.92	0	photic stimulation	5	86784
434.005	0	photic stimulation	5	86801
434.085	0	photic stimulation	5	86817
434.17	0	photic stimulation	5	86834
434.255	0	photic stimulation	5	86851
434.335	0	photic stimulation	5	86867
434.42	0	photic stimulation	5	86884
434.505	0	photic stimulation	5	86901
434.585	0	photic stimulation	5	86917
434.67	0	photic stimulation	5	86934
434.755	0	photic stimulation	5	86951
434.835	0	photic stimulation	5	86967
434.92	0	photic stimulation	5	86984
435.005	0	photic stimulation	5	87001
435.085	0	photic stimulation	5	87017
435.17	0	photic stimulation	5	87034
435.255	0	photic stimulation	5	87051
435.335	0	photic stimulation	5	87067
435.42	0	photic stimulation	5	87084
435.505	0	photic stimulation	5	87101
435.585	0	photic stimulation	5	87117
435.67	0	photic stimulation	5	87134
435.755	0	photic stimulation	5	87151
437.81	0	photic stimulation	5	87562
437.865	0	photic stimulation	5	87573
437.92	0	photic stimulation	5	87584
437.975	0	photic stimulation	5	87595
438.03	0	photic stimulation	5	87606
438.085	0	photic stimulation	5	87617
438.14	0	photic stimulation	5	87628
438.2	0	photic stimulation	5	87640
438.255	0	photic stimulation	5	87651
438.31	0	photic stimulation	5	87662
438.365	0	photic stimulation	5	87673
438.42	0	photic stimulation	5	87684
438.475	0	photic stimulation	5	87695
438.53	0	photic stimulation	5	87706
438.585	0	photic stimulation	5	87717
438.64	0	photic stimulation	5	87728
438.7	0	photic stimulation	5	87740
438.755	0	photic stimulation	5	87751
438.81	0	photic stimulation	5	87762
438.865	0	photic stimulation	5	87773
438.92	0	photic stimulation	5	87784
438.975	0	photic stimulation	5	87795
439.03	0	photic stimulation	5	87806
439.085	0	photic stimulation	5	87817
439.14	0	photic stimulation	5	87828
439.2	0	photic stimulation	5	87840
439.255	0	photic stimulation	5	87851
439.31	0	photic stimulation	5	87862
439.365	0	photic stimulation	5	87873
439.42	0	photic stimulation	5	87884
439.475	0	photic stimulation	5	87895
439.53	0	photic stimulation	5	87906
439.585	0	photic stimulation	5	87917
439.64	0	photic stimulation	5	87928
439.7	0	photic stimulation	5	87940
439.755	0	photic stimulation	5	87951
439.81	0	photic stimulation	5	87962
439.865	0	photic stimulation	5	87973
439.92	0	photic stimulation	5	87984
439.975	0	photic stimulation	5	87995
440.03	0	photic stimulation	5	88006
440.085	0	photic stimulation	5	88017
440.14	0	photic stimulation	5	88028
440.2	0	photic stimulation	5	88040
440.255	0	photic stimulation	5	88051
440.31	0	photic stimulation	5	88062
440.365	0	photic stimulation	5	88073
440.42	0	photic stimulation	5	88084
440.475	0	photic stimulation	5	88095
440.53	0	photic stimulation	5	88106
440.585	0	photic stimulation	5	88117
440.64	0	photic stimulation	5	88128
440.7	0	photic stimulation	5	88140
440.755	0	photic stimulation	5	88151
440.81	0	photic stimulation	5	88162
440.865	0	photic stimulation	5	88173
440.92	0	photic stimulation	5	88184
440.975	0	photic stimulation	5	88195
441.03	0	photic stimulation	5	88206
441.085	0	photic stimulation	5	88217
441.14	0	photic stimulation	5	88228
441.2	0	photic stimulation	5	88240
441.255	0	photic stimulation	5	88251
441.31	0	photic stimulation	5	88262
441.365	0	photic stimulation	5	88273
441.42	0	photic stimulation	5	88284
441.475	0	photic stimulation	5	88295
441.53	0	photic stimulation	5	88306
441.585	0	photic stimulation	5	88317
441.64	0	photic stimulation	5	88328
441.7	0	photic stimulation	5	88340
441.755	0	photic stimulation	5	88351
441.81	0	photic stimulation	5	88362
441.865	0	photic stimulation	5	88373
441.92	0	photic stimulation	5	88384
441.975	0	photic stimulation	5	88395
442.03	0	photic stimulation	5	88406
442.085	0	photic stimulation	5	88417
442.14	0	photic stimulation	5	88428
442.2	0	photic stimulation	5	88440
442.255	0	photic stimulation	5	88451
442.31	0	photic stimulation	5	88462
442.365	0	photic stimulation	5	88473
442.42	0	photic stimulation	5	88484
442.475	0	photic stimulation	5	88495
442.53	0	photic stimulation	5	88506
442.585	0	photic stimulation	5	88517
442.64	0	photic stimulation	5	88528
442.7	0	photic stimulation	5	88540
442.755	0	photic stimulation	5	88551
444.805	0	photic stimulation	5	88961
444.855	0	photic stimulation	5	88971
444.905	0	photic stimulation	5	88981
444.955	0	photic stimulation	5	88991
445.005	0	photic stimulation	5	89001
445.055	0	photic stimulation	5	89011
445.105	0	photic stimulation	5	89021
445.155	0	photic stimulation	5	89031
445.205	0	photic stimulation	5	89041
445.255	0	photic stimulation	5	89051
445.305	0	photic stimulation	5	89061
445.355	0	photic stimulation	5	89071
445.405	0	photic stimulation	5	89081
445.455	0	photic stimulation	5	89091
445.505	0	photic stimulation	5	89101
445.555	0	photic stimulation	5	89111
445.605	0	photic stimulation	5	89121
445.655	0	photic stimulation	5	89131
445.705	0	photic stimulation	5	89141
445.755	0	photic stimulation	5	89151
445.805	0	photic stimulation	5	89161
445.855	0	photic stimulation	5	89171
445.905	0	photic stimulation	5	89181
445.955	0	photic stimulation	5	89191
446.005	0	photic stimulation	5	89201
446.055	0	photic stimulation	5	89211
446.105	0	photic stimulation	5	89221
446.155	0	photic stimulation	5	89231
446.205	0	photic stimulation	5	89241
446.255	0	photic stimulation	5	89251
446.305	0	photic stimulation	5	89261
446.355	0	photic stimulation	5	89271
446.405	0	photic stimulation	5	89281
446.455	0	photic stimulation	5	89291
446.505	0	photic stimulation	5	89301
446.555	0	photic stimulation	5	89311
446.605	0	photic stimulation	5	89321
446.655	0	photic stimulation	5	89331
446.705	0	photic stimulation	5	89341
446.755	0	photic stimulation	5	89351
446.805	0	photic stimulation	5	89361
446.855	0	photic stimulation	5	89371
446.905	0	photic stimulation	5	89381
446.955	0	photic stimulation	5	89391
447.005	0	photic stimulation	5	89401
447.055	0	photic stimulation	5	89411
447.105	0	photic stimulation	5	89421
447.155	0	photic stimulation	5	89431
447.205	0	photic stimulation	5	89441
447.255	0	photic stimulation	5	89451
447.305	0	photic stimulation	5	89461
447.355	0	photic stimulation	5	89471
447.405	0	photic stimulation	5	89481
447.455	0	photic stimulation	5	89491
447.505	0	photic stimulation	5	89501
447.555	0	photic stimulation	5	89511
447.605	0	photic stimulation	5	89521
447.655	0	photic stimulation	5	89531
447.705	0	photic stimulation	5	89541
447.755	0	photic stimulation	5	89551
447.805	0	photic stimulation	5	89561
447.855	0	photic stimulation	5	89571
447.905	0	photic stimulation	5	89581
447.955	0	photic stimulation	5	89591
448.005	0	photic stimulation	5	89601
448.055	0	photic stimulation	5	89611
448.105	0	photic stimulation	5	89621
448.155	0	photic stimulation	5	89631
448.205	0	photic stimulation	5	89641
448.255	0	photic stimulation	5	89651
